AFG,Afghanistan,WORLD
ALA,Aland Islands,WORLD
ALB,Albania,WORLD
DZA,Algeria,WORLD
ASM,American Samoa,WORLD
AND,Andorra,WORLD
AGO,Angola,WORLD
AIA,Anguilla,WORLD
ATA,Antarctica,WORLD
ATG,Antigua and Barbuda,WORLD
ARG,Argentina,FM
ARM,Armenia,WORLD
ABW,Aruba,WORLD
AUS,Australia,DM
AUT,Austria,DM
AZE,Azerbaijan,WORLD
BHS,Bahamas,WORLD
BHR,Bahrain,FM
BGD,Bangladesh,FM
BRB,Barbados,WORLD
BLR,Belarus,WORLD
BEL,Belgium,DM
BLZ,Belize,WORLD
BEN,Benin,WORLD
BMU,Bermuda,WORLD
BTN,Bhutan,WORLD
BOL,"Bolivia, Plurinational State of",WORLD
BES,"Bonaire, Sint Eustatius and Saba",WORLD
BIH,Bosnia and Herzegovina,WORLD
BWA,Botswana,WORLD
BVT,Bouvet Island,WORLD
BRA,Brazil,EM
IOT,British Indian Ocean Territory,WORLD
BRN,Brunei Darussalam,WORLD
BGR,Bulgaria,FM
BFA,Burkina Faso,WORLD
BDI,Burundi,WORLD
KHM,Cambodia,WORLD
CMR,Cameroon,WORLD
CAN,Canada,DM
CPV,Cape Verde,WORLD
CYM,Cayman Islands,WORLD
CAF,Central African Republic,WORLD
TCD,Chad,WORLD
CHL,Chile,EM
CHN,China,EM
CXR,Christmas Island,WORLD
CCK,Cocos (Keeling) Islands,WORLD
COL,Colombia,EM
COM,Comoros,WORLD
COD,"Congo, Democratic Republic of the",WORLD
COG,"Congo, Republic of the",WORLD
COK,Cook Islands,WORLD
CRI,Costa Rica,WORLD
CIV,Cote d Ivoire,WORLD
Country Code,Country,WORLD
HRV,Croatia,FM
CUB,Cuba,WORLD
CUW,Curaçao,WORLD
CYP,Cyprus,WORLD
CZE,Czech Republic,EM
DNK,Denmark,DM
DJI,Djibouti,WORLD
DMA,Dominica,WORLD
DOM,Dominican Republic,WORLD
ECU,Ecuador,WORLD
EGY,Egypt,EM
SLV,El Salvador,WORLD
GNQ,Equatorial Guinea,WORLD
ERI,Eritrea,WORLD
EST,Estonia,FM
ETH,Ethiopia,WORLD
FLK,Falkland Islands,WORLD
FRO,Faroe Islands,WORLD
FJI,Fiji,WORLD
FIN,Finland,DM
FRA,France,DM
GUF,French Guiana,WORLD
PYF,French Polynesia,WORLD
ATF,French Southern Territories,WORLD
GAB,Gabon,WORLD
GMB,Gambia,WORLD
GEO,Georgia,WORLD
DEU,Germany,DM
GHA,Ghana,WORLD
GIB,Gibraltar,WORLD
GRC,Greece,EM
GRL,Greenland,WORLD
GRD,Grenada,WORLD
GLP,Guadeloupe,WORLD
GUM,Guam,WORLD
GTM,Guatemala,WORLD
GGY,Guernsey,WORLD
GIN,Guinea,WORLD
GNB,Guinea-Bissau,WORLD
GUY,Guyana,WORLD
HTI,Haiti,WORLD
HMD,Heard Island and McDonald Islands,WORLD
VAT,Holy See (Vatican City State),WORLD
HND,Honduras,WORLD
HKG,Hong Kong,DM
HUN,Hungary,EM
ISL,Iceland,WORLD
IND,India,EM
IDN,Indonesia,EM
IRN,Iran,WORLD
IRQ,Iraq,WORLD
IRL,Ireland,DM
IMN,Isle of Man,WORLD
ISR,Israel,DM
ITA,Italy,DM
JAM,Jamaica,WORLD
JPN,Japan,DM
JEY,Jersey,WORLD
JOR,Jordan,FM
KAZ,Kazakhstan,FM
KEN,Kenya,FM
KIR,Kiribati,WORLD
KWT,Kuwait,FM
KGZ,Kyrgyzstan,WORLD
LAO,Lao,WORLD
LVA,Latvia,WORLD
LBN,Lebanon,FM
LSO,Lesotho,WORLD
LBR,Liberia,WORLD
LBY,Libya,WORLD
LIE,Liechtenstein,WORLD
LTU,Lithuania,FM
LUX,Luxembourg,WORLD
MAC,Macao,WORLD
MKD,Macedonia,WORLD
MDG,Madagascar,WORLD
MWI,Malawi,WORLD
MYS,Malaysia,EM
MDV,Maldives,WORLD
MLI,Mali,WORLD
MLT,Malta,WORLD
MHL,Marshall Islands,WORLD
MTQ,Martinique,WORLD
MRT,Mauritania,WORLD
MUS,Mauritius,FM
MYT,Mayotte,WORLD
MEX,Mexico,EM
FSM,Micronesia,WORLD
MDA,Moldova,WORLD
MCO,Monaco,WORLD
MNG,Mongolia,WORLD
MNE,Montenegro,WORLD
MSR,Montserrat,WORLD
MAR,Morocco,EM
MOZ,Mozambique,WORLD
MMR,Myanmar,WORLD
NAM,Namibia,WORLD
NRU,Nauru,WORLD
NPL,Nepal,WORLD
NLD,Netherlands,DM
NCL,New Caledonia,WORLD
NZL,New Zealand,DM
NIC,Nicaragua,WORLD
NER,Niger,WORLD
NGA,Nigeria,FM
NIU,Niue,WORLD
NFK,Norfolk Island,WORLD
PRK,North Korea,WORLD
MNP,Northern Mariana Islands,WORLD
NOR,Norway,DM
OMN,Oman,FM
PAK,Pakistan,FM
PLW,Palau,WORLD
PSE,"Palestine, State of",WORLD
PAN,Panama,WORLD
PNG,Papua New Guinea,WORLD
PRY,Paraguay,WORLD
PER,Peru,EM
PHL,Philippines,EM
PCN,Pitcairn,WORLD
POL,Poland,EM
PRT,Portugal,DM
PRI,Puerto Rico,WORLD
QAT,Qatar,EM
REU,Réunion,WORLD
ROU,Romania,FM
RUS,Russia,EM
RWA,Rwanda,WORLD
BLM,Saint Barthélemy,WORLD
SHN,Saint Helena,WORLD
KNA,Saint Kitts and Nevis,WORLD
LCA,Saint Lucia,WORLD
MAF,Saint Martin,WORLD
SPM,Saint Pierre and Miquelon,WORLD
VCT,Saint Vincent and the Grenadines,WORLD
WSM,Samoa,WORLD
SMR,San Marino,WORLD
STP,Sao Tome and Principe,WORLD
SAU,Saudi Arabia,WORLD
SEN,Senegal,WORLD
SRB,Serbia,FM
SYC,Seychelles,WORLD
SLE,Sierra Leone,WORLD
SGP,Singapore,DM
SXM,Sint Maarten,WORLD
SVK,Slovakia,WORLD
SVN,Slovenia,FM
SLB,Solomon Islands,WORLD
SOM,Somalia,WORLD
ZAF,South Africa,EM
SGS,South Georgia and the South Sandwich Islands,WORLD
KOR,South Korea,EM
SSD,South Sudan,WORLD
ESP,Spain,DM
LKA,Sri Lanka,FM
SDN,Sudan,WORLD
SUR,Suriname,WORLD
SJM,Svalbard and Jan Mayen,WORLD
SWZ,Swaziland,WORLD
SWE,Sweden,DM
CHE,Switzerland,DM
SYR,Syria,WORLD
TWN,Taiwan,EM
TJK,Tajikistan,WORLD
TZA,Tanzania,WORLD
THA,Thailand,EM
TLS,Timor-Leste,WORLD
TGO,Togo,WORLD
TKL,Tokelau,WORLD
TON,Tonga,WORLD
TTO,Trinidad and Tobago,WORLD
TUN,Tunisia,FM
TUR,Turkey,EM
TKM,Turkmenistan,WORLD
TCA,Turks and Caicos Islands,WORLD
TUV,Tuvalu,WORLD
UGA,Uganda,WORLD
UKR,Ukraine,FM
ARE,United Arab Emirates,EM
GBR,United Kingdom,DM
USA,United States,DM
UMI,United States Minor Outlying Islands,DM
URY,Uruguay,WORLD
UZB,Uzbekistan,WORLD
VUT,Vanuatu,WORLD
VEN,Venezuela,WORLD
VNM,Vietnam,FM
VGB,Virgin Islands,WORLD
VIR,Virgin Islands,WORLD
WLF,Wallis and Futuna,WORLD
ESH,Western Sahara,WORLD
YEM,Yemen,WORLD
ZMB,Zambia,WORLD
ZWE,Zimbabwe,WORLD
